idx,rtl_i,py_i,err_i,rtl_q,py_q,err_q
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,-1,1
7,-1,0,-1,-1,-1,0
8,-1,0,-1,-1,-1,0
9,0,-1,1,-1,0,-1
10,0,-1,1,0,-1,1
11,-1,0,-1,0,-1,1
12,0,-1,1,-1,0,-1
13,0,0,0,0,-1,1
14,-1,0,-1,0,-1,1
15,0,-1,1,-1,0,-1
16,0,0,0,0,-1,1
17,-1,1,-2,-1,0,-1
18,1,-3,4,-2,0,-2
19,-1,2,-3,2,-3,5
20,-2,0,-2,-2,1,-3
21,3,-6,9,-2,-1,-1
22,-5,20,-25,5,-15,20
23,-5,43,-48,-17,-11,-6
24,20,25,-5,-40,1,-41
25,26,16,10,-17,-6,-11
26,16,23,-7,0,-7,7
27,21,20,1,-8,-3,-5
28,22,19,3,-6,-6,0
29,19,22,-3,-4,-6,2
30,21,20,1,-7,-5,-2
31,20,20,0,-5,-6,1
32,20,20,0,-5,-5,0
33,21,20,1,-6,-5,-1
34,20,21,-1,-5,-6,1
35,20,21,-1,-5,-5,0
36,20,20,0,-5,-5,0
37,20,20,0,-6,-5,-1
38,21,20,1,-6,-6,0
39,20,21,-1,-6,-6,0
40,20,20,0,-5,-6,1
41,20,20,0,-5,-5,0
42,20,20,0,-6,-5,-1
43,21,20,1,-6,-6,0
44,20,21,-1,-6,-6,0
45,20,20,0,-5,-6,1
46,20,20,0,-5,-5,0
47,20,20,0,-6,-5,-1
48,21,20,1,-6,-6,0
49,20,21,-1,-6,-6,0
50,20,20,0,-5,-6,1
51,20,20,0,-5,-5,0
52,20,20,0,-6,-5,-1
53,21,20,1,-6,-6,0
54,20,21,-1,-6,-6,0
55,20,20,0,-5,-6,1
56,20,20,0,-5,-5,0
57,20,20,0,-6,-5,-1
58,21,20,1,-6,-6,0
59,20,21,-1,-6,-6,0
60,20,20,0,-5,-6,1
61,20,20,0,-5,-5,0
62,20,20,0,-6,-5,-1
63,21,20,1,-6,-6,0
64,20,21,-1,-6,-6,0
65,20,20,0,-5,-6,1
66,20,20,0,-5,-5,0
67,20,20,0,-6,-5,-1
68,21,20,1,-6,-6,0
69,20,21,-1,-6,-6,0
70,20,20,0,-5,-6,1
71,20,20,0,-5,-5,0
72,20,20,0,-6,-5,-1
73,21,20,1,-6,-6,0
74,20,21,-1,-6,-6,0
75,20,20,0,-5,-6,1
76,20,20,0,-5,-5,0
77,20,20,0,-6,-5,-1
78,21,20,1,-6,-6,0
79,20,21,-1,-6,-6,0
80,20,20,0,-5,-6,1
81,20,20,0,-5,-5,0
82,20,20,0,-6,-5,-1
83,21,20,1,-6,-6,0
84,20,21,-1,-6,-6,0
85,20,20,0,-5,-6,1
86,20,20,0,-5,-5,0
87,20,20,0,-6,-5,-1
88,21,20,1,-6,-6,0
89,20,21,-1,-6,-6,0
90,20,20,0,-5,-6,1
91,20,20,0,-5,-5,0
92,20,20,0,-6,-5,-1
93,21,20,1,-6,-6,0
94,20,21,-1,-6,-6,0
95,20,20,0,-5,-6,1
96,20,20,0,-5,-5,0
97,20,20,0,-6,-5,-1
98,21,20,1,-6,-6,0
99,20,21,-1,-6,-6,0
100,20,20,0,-5,-6,1
101,20,20,0,-5,-5,0
102,20,20,0,-6,-5,-1
103,21,20,1,-6,-6,0
104,20,21,-1,-6,-6,0
105,20,20,0,-5,-6,1
106,20,20,0,-5,-5,0
107,20,20,0,-6,-5,-1
108,21,20,1,-6,-6,0
109,20,21,-1,-6,-6,0
110,20,20,0,-5,-6,1
111,20,20,0,-5,-5,0
112,20,20,0,-6,-5,-1
113,21,20,1,-6,-6,0
114,20,21,-1,-6,-6,0
115,20,20,0,-5,-6,1
116,20,20,0,-5,-5,0
117,20,20,0,-6,-5,-1
118,21,20,1,-6,-6,0
119,20,21,-1,-6,-6,0
120,20,20,0,-5,-6,1
121,20,20,0,-5,-5,0
122,20,20,0,-6,-5,-1
123,21,20,1,-6,-6,0
124,20,21,-1,-6,-6,0
125,20,20,0,-5,-6,1
126,20,20,0,-5,-5,0
127,20,20,0,-6,-5,-1
128,21,20,1,-6,-6,0
129,20,21,-1,-6,-6,0
130,20,20,0,-5,-6,1
131,20,20,0,-5,-5,0
132,20,20,0,-6,-5,-1
133,21,20,1,-6,-6,0
134,20,21,-1,-6,-6,0
135,20,20,0,-5,-6,1
136,20,20,0,-5,-5,0
137,20,20,0,-6,-5,-1
138,21,20,1,-6,-6,0
139,20,21,-1,-6,-6,0
140,20,20,0,-5,-6,1
141,20,20,0,-5,-5,0
142,20,20,0,-6,-5,-1
143,21,20,1,-6,-6,0
144,20,21,-1,-6,-6,0
145,20,20,0,-5,-6,1
146,20,20,0,-5,-5,0
147,20,20,0,-6,-5,-1
148,21,20,1,-6,-6,0
149,20,21,-1,-6,-6,0
150,20,20,0,-5,-6,1
151,20,20,0,-5,-5,0
152,20,20,0,-6,-5,-1
153,21,20,1,-6,-6,0
154,20,21,-1,-6,-6,0
155,20,20,0,-5,-6,1
156,20,20,0,-5,-5,0
157,20,20,0,-6,-5,-1
158,21,20,1,-6,-6,0
159,20,21,-1,-6,-6,0
160,20,20,0,-5,-6,1
161,20,20,0,-5,-5,0
162,20,20,0,-6,-5,-1
163,21,20,1,-6,-6,0
164,20,21,-1,-6,-6,0
165,20,20,0,-5,-6,1
166,20,20,0,-5,-5,0
167,20,20,0,-6,-5,-1
168,21,20,1,-6,-6,0
169,20,21,-1,-6,-6,0
170,20,20,0,-5,-6,1
171,20,20,0,-5,-5,0
172,20,20,0,-6,-5,-1
173,21,20,1,-6,-6,0
174,20,21,-1,-6,-6,0
175,20,20,0,-5,-6,1
