cycle,range_bin,doppler_bin,output_hex
1035995000,0,0,ffedffb5
1036005000,0,1,0056002f
1036015000,0,2,fef8fdf4
1036025000,0,3,00bb03e9
1036035000,0,4,ff67fd79
1036045000,0,5,02890060
1036055000,0,6,fb84ff8a
1036065000,0,7,0391003b
1036075000,0,8,ff0d0073
1036085000,0,9,00ae0099
1036095000,0,10,fc9cfefa
1036105000,0,11,0433fe37
1036115000,0,12,fe0303e7
1036125000,0,13,0027fe60
1036135000,0,14,000cff08
1036145000,0,15,00450115
1038025000,0,16,ffda004b
1038035000,0,17,ff09ff80
1038045000,0,18,01e40140
1038055000,0,19,fed4fde4
1038065000,0,20,019102c6
1038075000,0,21,fac60187
1038085000,0,22,046efae2
1038095000,0,23,fe600256
1038105000,0,24,fee0ff41
1038115000,0,25,0131002c
1038125000,0,26,0220ffcc
1038135000,0,27,fd1cfdfa
1038145000,0,28,019104b2
1038155000,0,29,ff4cfd11
1038165000,0,30,003a00be
1038175000,0,31,001cffd8
1040055000,1,0,ffe3ffff
1040065000,1,1,00e1ff79
1040075000,1,2,fef10061
1040085000,1,3,01650080
1040095000,1,4,fd9dfeef
1040105000,1,5,04330116
1040115000,1,6,fa4cfd95
1040125000,1,7,04660217
1040135000,1,8,ff33ffb5
1040145000,1,9,fe990157
1040155000,1,10,0051fca7
1040165000,1,11,004bffd8
1040175000,1,12,ff6d04e5
1040185000,1,13,0067fd3e
1040195000,1,14,0072ffcb
1040205000,1,15,ffb6007d
1042085000,1,16,ffc10027
1042095000,1,17,ffe40007
1042105000,1,18,00f5ff8a
1042115000,1,19,fe04001c
1042125000,1,20,00f202a7
1042135000,1,21,ff5bfd55
1042145000,1,22,feb5fef5
1042155000,1,23,0588007d
1042165000,1,24,f9e10265
1042175000,1,25,01f6fdf7
1042185000,1,26,ff51020e
1042195000,1,27,0086fcd4
1042205000,1,28,01b00389
1042215000,1,29,fd7bfe31
1042225000,1,30,012900ef
1042235000,1,31,ffb6ff77
1044115000,2,0,ffc4ffdb
1044125000,2,1,0092fffd
1044135000,2,2,ff0fff3e
1044145000,2,3,01d8002f
1044155000,2,4,fd6a0180
1044165000,2,5,018cff18
1044175000,2,6,fcf7fdb8
1044185000,2,7,0745034a
1044195000,2,8,fa62ff4f
1044205000,2,9,fe6afe99
1044215000,2,10,035d0062
1044225000,2,11,ffdc00f1
1044235000,2,12,feb4ffea
1044245000,2,13,0108ff8e
1044255000,2,14,ff01002c
1044265000,2,15,00cf0042
1046145000,2,16,ffa3000e
1046155000,2,17,ff84ff01
1046165000,2,18,018c02cb
1046175000,2,19,fe98fd35
1046185000,2,20,003103aa
1046195000,2,21,fe93faee
1046205000,2,22,0224020a
1046215000,2,23,fe3d00ab
1046225000,2,24,01e3ff84
1046235000,2,25,ff2a029f
1046245000,2,26,fd70fc23
1046255000,2,27,01b60147
1046265000,2,28,0155014c
1046275000,2,29,ff27ffa6
1046285000,2,30,fea40058
1046295000,2,31,00ddffdd
1048175000,3,0,fffeffe6
1048185000,3,1,00e5ffd5
1048195000,3,2,fe89fefd
1048205000,3,3,01c5016b
1048215000,3,4,fe9affd6
1048225000,3,5,0024ffe3
1048235000,3,6,fe8bfebe
1048245000,3,7,03d80037
1048255000,3,8,fdc802fe
1048265000,3,9,ff8ffe6d
1048275000,3,10,ffb5fd0f
1048285000,3,11,01cb014d
1048295000,3,12,fe000306
1048305000,3,13,0088fe47
1048315000,3,14,00ffff66
1048325000,3,15,ff5000b5
1050205000,3,16,ffd1ffc7
1050215000,3,17,003bff75
1050225000,3,18,00970297
1050235000,3,19,fde0fd96
1050245000,3,20,01fa004e
1050255000,3,21,fe6d01df
1050265000,3,22,0139fb91
1050275000,3,23,fd19057f
1050285000,3,24,038bfb63
1050295000,3,25,ff890353
1050305000,3,26,ff93fcef
1050315000,3,27,fe5002b6
1050325000,3,28,018e00ec
1050335000,3,29,ff4bfe39
1050345000,3,30,00890075
1050355000,3,31,ff8b0065
1052235000,4,0,0025001e
1052245000,4,1,00e1ffd5
1052255000,4,2,fea0febf
1052265000,4,3,0168024f
1052275000,4,4,ff8dff20
1052285000,4,5,0079004f
1052295000,4,6,fd6afe0b
1052305000,4,7,03e40009
1052315000,4,8,fef50360
1052325000,4,9,fe3ffdaf
1052335000,4,10,ffdcfec1
1052345000,4,11,01fcffcd
1052355000,4,12,fd61035e
1052365000,4,13,01affebd
1052375000,4,14,006aff41
1052385000,4,15,ff180083
1054265000,4,16,ffedfff3
1054275000,4,17,fe94003c
1054285000,4,18,029eff3a
1054295000,4,19,fd74013c
1054305000,4,20,015dfe53
1054315000,4,21,febd02fb
1054325000,4,22,ff39fac8
1054335000,4,23,02790477
1054345000,4,24,fe83ffa7
1054355000,4,25,ffc2fd6c
1054365000,4,26,00520068
1054375000,4,27,ff72ffdc
1054385000,4,28,02ef038f
1054395000,4,29,fda5fdbd
1054405000,4,30,ff8b004a
1054415000,4,31,00d9ffe1
1056295000,5,0,00420058
1056305000,5,1,ffaeff4f
1056315000,5,2,fffb00d1
1056325000,5,3,00f6ff23
1056335000,5,4,fe26012a
1056345000,5,5,01ddffa5
1056355000,5,6,fcccfe0b
1056365000,5,7,03570175
1056375000,5,8,00ca0380
1056385000,5,9,fbfafa9d
1056395000,5,10,01db0215
1056405000,5,11,00e4ffbf
1056415000,5,12,ff7e01da
1056425000,5,13,001bfdf3
1056435000,5,14,ffd600db
1056445000,5,15,0007ff7d
1058325000,5,16,fffafff5
1058335000,5,17,000d0058
1058345000,5,18,012dff89
1058355000,5,19,fe590051
1058365000,5,20,ff36005e
1058375000,5,21,02c60171
1058385000,5,22,fc8ffe01
1058395000,5,23,00b9fde1
